detection_id,bbox_x,bbox_y,bbox_w,bbox_h,original_cluster,final_class,class_name,status
3186,2066,1766,89,104,0,0,Cladoceramorpha,confirmed
3167,1868,768,127,108,2,2,Detritus / Unsharp Organisms,confirmed
3159,2130,220,142,127,2,2,Detritus / Unsharp Organisms,confirmed
3200,2031,2564,74,49,2,2,Detritus / Unsharp Organisms,confirmed
3187,2821,1798,55,46,2,2,Detritus / Unsharp Organisms,confirmed
3163,1995,681,71,61,2,2,Detritus / Unsharp Organisms,confirmed
3165,1885,728,80,48,2,2,Detritus / Unsharp Organisms,confirmed
3199,2295,2426,122,109,2,2,Detritus / Unsharp Organisms,confirmed
3192,985,2018,82,29,2,2,Detritus / Unsharp Organisms,confirmed
3203,1487,2657,139,88,2,2,Detritus / Unsharp Organisms,confirmed
3197,1485,2303,105,54,2,2,Detritus / Unsharp Organisms,confirmed
3182,3032,1583,81,78,4,4,Detritus / Unsharp Organisms,confirmed
3173,2761,1232,85,151,7,7,Detritus / Unsharp Organisms,confirmed
3204,1975,2731,42,83,7,7,Detritus / Unsharp Organisms,confirmed
3184,2028,1679,43,49,7,7,Detritus / Unsharp Organisms,confirmed
3179,1541,1483,50,60,7,7,Detritus / Unsharp Organisms,confirmed
3161,1537,403,54,68,7,7,Detritus / Unsharp Organisms,confirmed
3168,2045,942,133,290,7,7,Detritus / Unsharp Organisms,confirmed
3177,1025,1410,40,64,7,7,Detritus / Unsharp Organisms,confirmed
3188,2587,1808,36,56,7,7,Detritus / Unsharp Organisms,confirmed
3205,2316,2753,36,54,7,7,Detritus / Unsharp Organisms,confirmed
3176,1328,1398,51,58,7,7,Detritus / Unsharp Organisms,confirmed
3189,708,1821,71,92,7,7,Detritus / Unsharp Organisms,confirmed
3198,1330,2330,43,49,7,7,Detritus / Unsharp Organisms,confirmed
3174,2781,1384,30,70,7,7,Detritus / Unsharp Organisms,confirmed
3185,2871,1687,34,56,7,7,Detritus / Unsharp Organisms,confirmed
3171,2532,1180,48,90,7,7,Detritus / Unsharp Organisms,confirmed
3175,2654,1396,81,110,7,7,Detritus / Unsharp Organisms,confirmed
3193,3094,2032,40,64,7,7,Detritus / Unsharp Organisms,confirmed
3201,1817,2608,36,67,7,7,Detritus / Unsharp Organisms,confirmed
3202,1236,2622,45,88,7,7,Detritus / Unsharp Organisms,confirmed
3195,2302,2175,60,215,8,8,Detritus / Unsharp Organisms,confirmed
3183,1069,1664,104,191,8,8,Detritus / Unsharp Organisms,confirmed
3194,1742,2121,48,66,8,8,Detritus / Unsharp Organisms,confirmed
3162,1834,413,35,51,8,8,Detritus / Unsharp Organisms,confirmed
3164,1837,682,44,64,8,8,Detritus / Unsharp Organisms,confirmed
3190,2512,1879,49,85,8,8,Detritus / Unsharp Organisms,confirmed
3191,2798,1914,61,106,16,16,Detritus / Unsharp Organisms,confirmed
3169,1141,965,68,148,16,16,Detritus / Unsharp Organisms,confirmed
3158,1968,152,90,308,17,17,Detritus / Unsharp Organisms,confirmed
3196,1366,2230,100,128,18,18,Detritus / Unsharp Organisms,confirmed
3178,1638,1426,97,145,18,18,Detritus / Unsharp Organisms,confirmed
3166,2044,743,56,68,19,19,Detritus / Unsharp Organisms,confirmed
3181,1405,1569,91,121,29,29,Detritus / Unsharp Organisms,confirmed
3170,2944,1082,82,159,41,41,Detritus / Unsharp Organisms,confirmed
3172,979,1216,61,77,49,49,Detritus / Unsharp Organisms,confirmed
3180,1414,1495,68,78,49,49,Detritus / Unsharp Organisms,confirmed
3160,2395,336,99,100,49,49,Detritus / Unsharp Organisms,confirmed
