detection_id,bbox_x,bbox_y,bbox_w,bbox_h,original_cluster,final_class,class_name,status
2610,1871,766,132,115,2,2,Detritus / Unsharp Organisms,confirmed
2617,1877,1352,54,50,2,2,Detritus / Unsharp Organisms,confirmed
2613,2140,1137,105,96,2,2,Detritus / Unsharp Organisms,confirmed
2630,1655,2626,68,55,2,2,Detritus / Unsharp Organisms,confirmed
2628,2539,2300,63,57,3,3,Detritus / Unsharp Organisms,confirmed
2624,991,1972,122,89,4,4,Detritus / Unsharp Organisms,confirmed
2608,2116,326,53,47,6,6,Detritus / Unsharp Organisms,confirmed
2611,2186,785,65,205,7,7,Detritus / Unsharp Organisms,confirmed
2626,1385,2279,51,80,7,7,Detritus / Unsharp Organisms,confirmed
2619,2667,1391,43,78,7,7,Detritus / Unsharp Organisms,confirmed
2612,2022,975,34,57,7,7,Detritus / Unsharp Organisms,confirmed
2620,1041,1410,56,61,7,7,Detritus / Unsharp Organisms,confirmed
2625,2804,2003,45,54,7,7,Detritus / Unsharp Organisms,confirmed
2609,2369,329,51,69,7,7,Detritus / Unsharp Organisms,confirmed
2629,1851,2611,70,73,7,7,Detritus / Unsharp Organisms,confirmed
2616,2777,1305,138,148,16,16,Detritus / Unsharp Organisms,confirmed
2622,1446,1530,96,135,16,16,Detritus / Unsharp Organisms,confirmed
2618,1326,1390,47,86,16,16,Detritus / Unsharp Organisms,confirmed
2621,1540,1464,50,77,16,16,Detritus / Unsharp Organisms,confirmed
2615,1930,1251,86,105,27,27,Detritus / Unsharp Organisms,confirmed
2607,1971,303,148,259,29,29,Detritus / Unsharp Organisms,confirmed
2623,1098,1742,70,112,40,40,Detritus / Unsharp Organisms,confirmed
2614,2949,1152,86,102,41,41,Detritus / Unsharp Organisms,confirmed
2627,2311,2296,79,90,49,49,Detritus / Unsharp Organisms,confirmed
