detection_id,bbox_x,bbox_y,bbox_w,bbox_h,original_cluster,final_class,class_name,status
873,1168,1850,189,162,0,0,Cladoceramorpha,confirmed
924,1769,2746,53,76,0,0,Cladoceramorpha,confirmed
805,973,1000,103,163,0,0,Cladoceramorpha,confirmed
860,2870,1683,61,37,2,2,Detritus / Unsharp Organisms,confirmed
902,931,2255,60,45,2,2,Detritus / Unsharp Organisms,confirmed
813,2267,1123,105,51,2,2,Detritus / Unsharp Organisms,confirmed
800,2300,929,66,55,2,2,Detritus / Unsharp Organisms,confirmed
824,1518,1309,53,50,3,3,Detritus / Unsharp Organisms,confirmed
906,1368,2299,47,49,3,3,Detritus / Unsharp Organisms,confirmed
854,2796,1657,53,48,3,3,Detritus / Unsharp Organisms,confirmed
802,2198,939,59,49,3,3,Detritus / Unsharp Organisms,confirmed
877,1984,1891,148,107,4,4,Detritus / Unsharp Organisms,confirmed
809,1479,1071,176,55,4,50,Copepoda,relabelled
914,1333,2410,52,52,5,5,Detritus / Unsharp Organisms,confirmed
867,1012,1755,44,42,6,6,Detritus / Unsharp Organisms,confirmed
763,2142,327,45,69,7,7,Detritus / Unsharp Organisms,confirmed
819,1028,1223,50,58,7,7,Detritus / Unsharp Organisms,confirmed
833,2680,1413,52,62,7,7,Detritus / Unsharp Organisms,confirmed
757,1980,120,59,128,7,7,Detritus / Unsharp Organisms,confirmed
766,2478,376,57,67,7,7,Detritus / Unsharp Organisms,confirmed
771,1357,458,37,56,7,7,Detritus / Unsharp Organisms,confirmed
840,796,1501,49,58,7,7,Detritus / Unsharp Organisms,confirmed
770,1540,432,54,110,7,7,Detritus / Unsharp Organisms,confirmed
825,3203,1310,37,55,7,7,Detritus / Unsharp Organisms,confirmed
795,1998,848,38,49,7,7,Detritus / Unsharp Organisms,confirmed
829,2770,1363,46,67,7,7,Detritus / Unsharp Organisms,confirmed
811,2492,1103,40,48,7,7,Detritus / Unsharp Organisms,confirmed
919,2135,2573,35,65,7,7,Detritus / Unsharp Organisms,confirmed
775,1173,532,37,56,7,7,Detritus / Unsharp Organisms,confirmed
796,3086,871,56,76,7,7,Detritus / Unsharp Organisms,confirmed
831,3348,1385,31,60,7,7,Detritus / Unsharp Organisms,confirmed
866,1187,1734,37,44,7,7,Detritus / Unsharp Organisms,confirmed
862,2159,1698,37,59,7,7,Detritus / Unsharp Organisms,confirmed
918,1575,2570,42,54,7,7,Detritus / Unsharp Organisms,confirmed
922,2547,2638,56,59,7,7,Detritus / Unsharp Organisms,confirmed
807,3325,1023,45,63,7,7,Detritus / Unsharp Organisms,confirmed
893,934,2065,59,146,7,7,Detritus / Unsharp Organisms,confirmed
782,3160,678,39,57,7,7,Detritus / Unsharp Organisms,confirmed
821,784,1271,63,95,7,7,Detritus / Unsharp Organisms,confirmed
760,2549,243,109,149,7,7,Detritus / Unsharp Organisms,confirmed
896,3003,2083,43,91,8,8,Detritus / Unsharp Organisms,confirmed
894,1086,2074,28,65,8,8,Detritus / Unsharp Organisms,confirmed
916,2344,2493,37,84,8,8,Detritus / Unsharp Organisms,confirmed
798,1111,890,51,76,8,8,Detritus / Unsharp Organisms,confirmed
830,2836,1371,64,53,10,0,Cladoceramorpha,relabelled
781,1181,662,46,39,10,10,Detritus / Unsharp Organisms,confirmed
843,1987,1541,54,38,10,10,Detritus / Unsharp Organisms,confirmed
837,1997,1457,56,49,10,10,Detritus / Unsharp Organisms,confirmed
920,2549,2575,46,38,10,10,Detritus / Unsharp Organisms,confirmed
787,1658,765,49,43,10,10,Detritus / Unsharp Organisms,confirmed
883,894,1928,48,43,10,10,Detritus / Unsharp Organisms,confirmed
923,2245,2655,51,46,10,10,Detritus / Unsharp Organisms,confirmed
836,1109,1437,70,60,10,10,Detritus / Unsharp Organisms,confirmed
826,3249,1314,49,43,10,10,Detritus / Unsharp Organisms,confirmed
799,1997,926,48,47,10,10,Detritus / Unsharp Organisms,confirmed
908,1845,2303,47,41,10,10,Detritus / Unsharp Organisms,confirmed
761,2292,269,46,47,10,10,Detritus / Unsharp Organisms,confirmed
