detection_id,bbox_x,bbox_y,bbox_w,bbox_h,original_cluster,final_class,class_name,status
5305,1601,590,219,225,0,0,Cladoceramorpha,confirmed
5321,1246,1013,106,103,2,2,Detritus / Unsharp Organisms,confirmed
5298,1751,402,116,46,2,2,Detritus / Unsharp Organisms,confirmed
5304,1324,561,72,54,2,2,Detritus / Unsharp Organisms,confirmed
5352,922,1951,117,83,2,2,Detritus / Unsharp Organisms,confirmed
5342,2511,1543,95,57,2,2,Detritus / Unsharp Organisms,confirmed
5364,2663,2435,89,48,2,2,Detritus / Unsharp Organisms,confirmed
5361,1322,2258,119,82,2,2,Detritus / Unsharp Organisms,confirmed
5291,1966,276,196,77,2,2,Detritus / Unsharp Organisms,confirmed
5292,1687,294,110,43,2,2,Detritus / Unsharp Organisms,confirmed
5313,1408,779,96,82,2,2,Detritus / Unsharp Organisms,confirmed
5324,1139,1083,103,52,2,2,Detritus / Unsharp Organisms,confirmed
5314,2598,803,70,58,2,2,Detritus / Unsharp Organisms,confirmed
5316,2488,821,63,45,2,2,Detritus / Unsharp Organisms,confirmed
5357,3113,2097,72,39,2,2,Detritus / Unsharp Organisms,confirmed
5307,2238,681,92,48,2,2,Detritus / Unsharp Organisms,confirmed
5326,1902,1181,124,73,2,2,Detritus / Unsharp Organisms,confirmed
5332,1404,1380,96,40,2,2,Detritus / Unsharp Organisms,confirmed
5367,1988,2756,80,54,2,2,Detritus / Unsharp Organisms,confirmed
5329,2144,1206,114,78,2,2,Detritus / Unsharp Organisms,confirmed
5358,1318,2141,65,41,2,2,Detritus / Unsharp Organisms,confirmed
5294,2468,325,62,51,2,2,Detritus / Unsharp Organisms,confirmed
5327,2390,1195,84,80,3,3,Detritus / Unsharp Organisms,confirmed
5341,1957,1540,78,69,3,3,Detritus / Unsharp Organisms,confirmed
5309,2496,731,62,56,3,3,Detritus / Unsharp Organisms,confirmed
5311,2405,752,69,61,3,3,Detritus / Unsharp Organisms,confirmed
5366,2385,2641,55,49,3,3,Detritus / Unsharp Organisms,confirmed
5334,2447,1421,66,55,3,3,Detritus / Unsharp Organisms,confirmed
5347,1684,1695,132,87,4,4,Detritus / Unsharp Organisms,confirmed
5363,1399,2338,218,87,4,4,Detritus / Unsharp Organisms,confirmed
5360,1003,2224,57,58,5,5,Detritus / Unsharp Organisms,confirmed
5299,1525,409,74,75,5,5,Detritus / Unsharp Organisms,confirmed
5312,1174,766,74,103,7,7,Detritus / Unsharp Organisms,confirmed
5348,2495,1748,84,145,7,7,Detritus / Unsharp Organisms,confirmed
5337,3015,1496,42,90,7,7,Detritus / Unsharp Organisms,confirmed
5290,1444,271,51,107,7,7,Detritus / Unsharp Organisms,confirmed
5306,2111,621,122,154,7,7,Detritus / Unsharp Organisms,confirmed
5320,1611,1005,55,62,7,7,Detritus / Unsharp Organisms,confirmed
5302,3023,554,63,113,7,7,Detritus / Unsharp Organisms,confirmed
5319,2566,944,69,102,7,7,Detritus / Unsharp Organisms,confirmed
5289,2313,236,48,57,7,7,Detritus / Unsharp Organisms,confirmed
5344,1328,1624,41,45,7,7,Detritus / Unsharp Organisms,confirmed
5296,2007,360,102,193,7,7,Detritus / Unsharp Organisms,confirmed
5297,2246,377,38,55,7,7,Detritus / Unsharp Organisms,confirmed
5328,2606,1205,48,66,7,7,Detritus / Unsharp Organisms,confirmed
5303,2485,558,41,59,7,7,Detritus / Unsharp Organisms,confirmed
5322,2362,1013,48,59,7,7,Detritus / Unsharp Organisms,confirmed
5365,2047,2559,66,72,7,7,Detritus / Unsharp Organisms,confirmed
5300,2190,516,44,64,7,7,Detritus / Unsharp Organisms,confirmed
5331,2156,1292,79,108,7,7,Detritus / Unsharp Organisms,confirmed
5338,1532,1532,45,70,7,7,Detritus / Unsharp Organisms,confirmed
5350,2702,1823,50,72,7,7,Detritus / Unsharp Organisms,confirmed
5351,2511,1886,55,78,7,7,Detritus / Unsharp Organisms,confirmed
5346,3004,1648,45,73,7,7,Detritus / Unsharp Organisms,confirmed
5318,2257,935,61,73,7,7,Detritus / Unsharp Organisms,confirmed
5343,1444,1577,80,129,8,8,Detritus / Unsharp Organisms,confirmed
5333,1323,1412,47,88,8,8,Detritus / Unsharp Organisms,confirmed
5349,1225,1784,138,87,10,10,Detritus / Unsharp Organisms,confirmed
5340,2229,1539,63,84,14,14,Detritus / Unsharp Organisms,confirmed
5317,2849,909,45,67,14,14,Detritus / Unsharp Organisms,confirmed
5335,2687,1426,183,212,16,16,Detritus / Unsharp Organisms,confirmed
5339,2928,1537,76,102,18,18,Detritus / Unsharp Organisms,confirmed
5359,2221,2184,43,55,19,19,Detritus / Unsharp Organisms,confirmed
5310,2225,745,151,170,19,19,Detritus / Unsharp Organisms,confirmed
5362,2297,2324,137,214,30,30,Detritus / Unsharp Organisms,confirmed
5301,1936,523,109,88,32,32,Detritus / Unsharp Organisms,confirmed
5315,1329,816,134,118,32,32,Detritus / Unsharp Organisms,confirmed
5336,1539,1488,102,108,39,39,Detritus / Unsharp Organisms,confirmed
5345,1101,1642,170,222,43,2,Detritus / Unsharp Organisms,relabelled
5325,2966,1123,127,117,49,49,Detritus / Unsharp Organisms,confirmed
5355,2686,2028,75,75,49,49,Detritus / Unsharp Organisms,confirmed
5354,1049,1984,112,140,49,49,Detritus / Unsharp Organisms,confirmed
5330,2814,1255,151,154,49,49,Detritus / Unsharp Organisms,confirmed
5308,1892,720,141,146,49,49,Detritus / Unsharp Organisms,confirmed
5356,1823,2053,87,79,49,49,Detritus / Unsharp Organisms,confirmed
5353,2965,1961,121,125,49,49,Detritus / Unsharp Organisms,confirmed
5293,1301,296,88,134,49,49,Detritus / Unsharp Organisms,confirmed
5295,1973,360,32,78,49,49,Detritus / Unsharp Organisms,confirmed
5288,1489,187,177,217,49,49,Detritus / Unsharp Organisms,confirmed
5323,2996,1017,61,79,49,49,Detritus / Unsharp Organisms,confirmed
