detection_id,bbox_x,bbox_y,bbox_w,bbox_h,original_cluster,final_class,class_name,status
2311,2926,2161,60,51,2,2,Detritus / Unsharp Organisms,confirmed
2296,1396,561,68,47,2,2,Detritus / Unsharp Organisms,confirmed
2294,1540,434,62,44,2,2,Detritus / Unsharp Organisms,confirmed
2301,1946,974,86,50,2,2,Detritus / Unsharp Organisms,confirmed
2309,2126,1934,102,62,2,2,Detritus / Unsharp Organisms,confirmed
2316,2037,2556,57,57,3,3,Detritus / Unsharp Organisms,confirmed
2298,1867,699,108,174,7,7,Detritus / Unsharp Organisms,confirmed
2313,1385,2274,39,70,7,7,Detritus / Unsharp Organisms,confirmed
2315,1688,2442,45,67,7,7,Detritus / Unsharp Organisms,confirmed
2299,2238,849,58,67,7,7,Detritus / Unsharp Organisms,confirmed
2312,1052,2226,46,53,7,7,Detritus / Unsharp Organisms,confirmed
2295,1010,497,43,114,7,7,Detritus / Unsharp Organisms,confirmed
2293,2741,398,44,60,7,7,Detritus / Unsharp Organisms,confirmed
2320,1312,2682,50,61,7,7,Detritus / Unsharp Organisms,confirmed
2303,2150,1177,52,57,7,7,Detritus / Unsharp Organisms,confirmed
2318,1821,2604,40,74,7,7,Detritus / Unsharp Organisms,confirmed
2305,1528,1458,63,84,7,7,Detritus / Unsharp Organisms,confirmed
2319,1649,2616,63,71,7,7,Detritus / Unsharp Organisms,confirmed
2290,2468,307,70,77,7,7,Detritus / Unsharp Organisms,confirmed
2288,1471,228,33,98,7,7,Detritus / Unsharp Organisms,confirmed
2310,934,1962,65,67,7,7,Detritus / Unsharp Organisms,confirmed
2297,2210,636,60,89,7,7,Detritus / Unsharp Organisms,confirmed
2304,2775,1270,93,184,8,8,Detritus / Unsharp Organisms,confirmed
2300,1190,958,41,68,8,8,Detritus / Unsharp Organisms,confirmed
2307,2971,1600,58,49,10,10,Detritus / Unsharp Organisms,confirmed
2291,2115,325,43,49,14,14,Detritus / Unsharp Organisms,confirmed
2306,1445,1535,74,128,16,16,Detritus / Unsharp Organisms,confirmed
2289,1907,247,195,314,18,18,Detritus / Unsharp Organisms,confirmed
2292,2522,389,113,94,25,25,Cladoceramorpha,confirmed
2308,1084,1744,62,128,29,29,Detritus / Unsharp Organisms,confirmed
2302,2943,1163,83,93,41,41,Detritus / Unsharp Organisms,confirmed
2314,2299,2311,73,80,49,49,Detritus / Unsharp Organisms,confirmed
2317,2010,2588,151,161,49,0,Cladoceramorpha,relabelled
