detection_id,bbox_x,bbox_y,bbox_w,bbox_h,original_cluster,final_class,class_name,status
1969,1406,744,92,62,2,2,Detritus / Unsharp Organisms,confirmed
1964,1972,273,170,87,2,2,Detritus / Unsharp Organisms,confirmed
1965,2434,279,152,51,2,2,Detritus / Unsharp Organisms,confirmed
1966,2696,416,74,42,2,2,Detritus / Unsharp Organisms,confirmed
1970,1851,820,62,56,3,3,Detritus / Unsharp Organisms,confirmed
1980,1608,2714,90,85,3,3,Detritus / Unsharp Organisms,confirmed
1971,2943,1190,85,64,4,4,Detritus / Unsharp Organisms,confirmed
1976,1407,1637,41,84,7,7,Detritus / Unsharp Organisms,confirmed
1979,2309,2328,42,58,7,7,Detritus / Unsharp Organisms,confirmed
1967,1363,544,46,54,7,7,Detritus / Unsharp Organisms,confirmed
1973,1177,1363,39,57,7,7,Detritus / Unsharp Organisms,confirmed
1972,2778,1317,88,147,8,8,Detritus / Unsharp Organisms,confirmed
1974,1538,1489,52,53,13,13,Detritus / Unsharp Organisms,confirmed
1978,1379,2289,50,50,15,15,Detritus / Unsharp Organisms,confirmed
1975,1433,1505,76,191,16,16,Detritus / Unsharp Organisms,confirmed
1977,1092,1790,72,80,40,40,Detritus / Unsharp Organisms,confirmed
1968,1899,701,60,46,49,49,Detritus / Unsharp Organisms,confirmed
